Week,WeekStart,Symbol,H1_Bars_Above20,H1_Total_Bars,H1_Pct_Above20,H1_Range_Pips,H1_AvgADX,H1_MaxADX,H4_Bars_Above20,H4_Total_Bars,H4_Pct_Above20,H4_Bars_Above30,H4_Pct_Above30,H4_Range_Pips,H4_AvgADX,H4_MaxADX
2025-W36,2025.09.01,USDJPY,74,120,61.7,231.5,23.41,37.70,16,30,53.3,0,0.0,231.5,18.24,24.38
2025-W37,2025.09.08,USDJPY,19,120,15.8,188.6,16.63,27.10,9,30,30.0,0,0.0,133.8,18.73,21.89
2025-W38,2025.09.15,USDJPY,66,120,55.0,280.0,19.75,30.94,0,30,0.0,0,0.0,0.0,16.09,18.63
2025-W39,2025.09.22,USDJPY,75,120,62.5,221.6,26.31,43.92,9,30,30.0,0,0.0,127.5,18.91,29.28
2025-W40,2025.09.29,USDJPY,91,120,75.8,293.8,26.16,38.70,29,30,96.7,0,0.0,293.8,23.57,28.22
2025-W41,2025.10.06,USDJPY,90,120,75.0,348.0,29.53,49.96,24,30,80.0,18,60.0,305.3,33.03,45.51
2025-W42,2025.10.13,USDJPY,87,120,72.5,307.1,23.91,36.09,30,30,100.0,5,16.7,323.2,25.16,35.73
2025-W43,2025.10.20,USDJPY,46,121,38.0,199.0,18.84,27.33,11,31,35.5,0,0.0,276.0,17.82,23.79
2025-W44,2025.10.27,USDJPY,49,119,41.2,290.5,18.91,32.66,17,30,56.7,0,0.0,171.7,20.44,25.28
2025-W45,2025.11.03,USDJPY,32,120,26.7,82.2,19.30,37.85,0,30,0.0,0,0.0,0.0,15.37,19.74
2025-W46,2025.11.10,USDJPY,53,120,44.2,163.7,18.93,27.56,12,30,40.0,0,0.0,91.8,18.45,24.70
2025-W47,2025.11.17,USDJPY,71,120,59.2,308.1,23.77,42.07,20,30,66.7,8,26.7,284.0,24.24,34.74
2025-W48,2025.11.24,USDJPY,64,120,53.3,138.3,20.56,30.21,13,30,43.3,0,0.0,138.6,19.69,28.45
2025-W49,2025.12.01,USDJPY,103,120,85.8,167.0,28.97,44.23,0,30,0.0,0,0.0,0.0,16.25,19.85
