Week,WeekStart,Symbol,H1_Bars_Above20,H1_Total_Bars,H1_Pct_Above20,H1_Range_Pips,H1_AvgADX,H1_MaxADX,H4_Bars_Above20,H4_Total_Bars,H4_Pct_Above20,H4_Bars_Above30,H4_Pct_Above30,H4_Range_Pips,H4_AvgADX,H4_MaxADX,ADX_Score_v1,H4_Vel_Pos_Pct,ATR_Ratio,ATR_Phase,Score_Axis_A,Score_Axis_B,Score_Axis_C,ADX_Score_v3,Score_Band_v3
2025-W47,2025.11.17,XAUUSD,45,115,39.1,,29.22,,,30,0.0,,0.0,,17.79,,43.5,6.7,1.011,NORMAL_FALL,10.0,15.0,7.3,32.3,CAUTION
2025-W48,2025.11.24,XAUUSD,57,111,51.4,,29.52,,,30,0.0,,0.0,,18.16,,61.0,66.7,0.491,BOTTOM,40.0,25.0,7.7,72.7,GOOD
2025-W49,2025.12.01,XAUUSD,49,115,42.6,,26.29,,,30,0.0,,0.0,,19.7,,49.8,33.3,0.611,BOTTOM,22.0,25.0,6.3,53.3,WATCH
2025-W50,2025.12.08,XAUUSD,13,115,11.3,,30.11,,,30,0.0,,0.0,,12.42,,50.4,36.7,0.898,BOTTOM_TURN,22.0,28.0,6.6,56.6,WATCH
2025-W51,2025.12.15,XAUUSD,52,115,45.2,,28.89,,,30,0.0,,0.0,,24.37,,62.1,53.3,0.783,BOTTOM_CONT,33.0,35.0,10.3,78.3,OPTIMAL
2025-W52,2025.12.22,XAUUSD,83,89,93.3,,35.82,,,24,0.0,,0.0,,38.17,,88.4,79.2,1.086,NORMAL_RISE,40.0,5.0,21.4,66.4,GOOD
2026-W01,2025.12.29,XAUUSD,62,91,68.1,,26.75,,,26,0.0,,0.0,,26.1,,50.8,15.4,1.137,HIGH_CONT,10.0,8.0,9.7,27.7,CAUTION
2026-W02,2026.01.05,XAUUSD,83,115,72.2,,26.29,,,30,0.0,,0.0,,20.67,,55.3,50.0,0.978,NORMAL_FALL,33.0,15.0,6.8,54.8,WATCH
2026-W03,2026.01.12,XAUUSD,33,115,28.7,,24.45,,,30,0.0,,0.0,,30.8,,65.1,60.0,1.135,HIGH_CONT,40.0,8.0,10.5,58.5,WATCH
2026-W04,2026.01.19,XAUUSD,92,113,81.4,,35.79,,,30,0.0,,0.0,,27.14,,75.1,66.7,1.565,PEAK_CONT,40.0,18.0,16.1,74.1,GOOD
